GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000024130.17	Abca3	-0.998872972685117	6.34235655133219e-208	2.78314453830849e-206	0.809,0.802,0.872	0.733,0.662,0.917	0.057
ENSMUSG00000024132.7	Eci1	-0.262749283647201	2.23659129784115e-06	5.09921107627985e-06	0.007,0.016,0.019	0.023,0.021,0.01	-0.004
ENSMUSG00000024135.11	Srbd1	-0.368100286856463	3.4672508203216e-09	9.344085937742e-09	0.0,0.0,NA	NA,NA,0.0	0.0
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.121,0.122,0.104	0.106,0.166,0.121	-0.015
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.664,0.933,0.84	0.757,0.821,0.676	0.061
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.007,0.024,0.0	0.014,0.027,0.061	-0.024
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.041,0.024,0.048	0.016,0.099,0.028	-0.01
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.032,0.0,0.039	0.04,0.025,0.07	-0.021
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	1.0,0.355,NA	1.0,1.0,1.0	-0.323
ENSMUSG00000024137.10	E4f1	0.216342575835874	0.0038864332125369	0.0066721837600873	0.007,0.008,0.0	0.0,0.01,0.0	0.002
ENSMUSG00000024142.16	Mlst8	-0.555235276402328	1.66700791238295e-14	5.69077097339024e-14	0.019,0.007,0.019	0.007,0.003,0.033	0.001
ENSMUSG00000024150.13	Mcfd2	0.918314886671773	7.14389186096556e-59	7.004873216402881e-58	1.0,1.0,1.0	1.0,0.692,1.0	0.103
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.201,0.149,0.153	0.175,0.181,0.142	0.002
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.176,0.135,0.148	0.135,0.169,0.145	0.003
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	1.0,1.0,0.944	1.0,1.0,1.0	-0.019
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	1.0,1.0,1.0	0.967,1.0,1.0	0.011
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.865,1.0,1.0	1.0,1.0,1.0	-0.045
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.939,1.0,1.0	1.0,1.0,1.0	-0.02
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.148,0.153,0.166	0.168,0.178,0.162	-0.014
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.964,1.0,1.0	1.0,1.0,1.0	-0.012
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	1.0,1.0,0.957	1.0,1.0,1.0	-0.014
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	1.0,1.0,0.98	0.913,0.978,1.0	0.03
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.914,0.959,0.96	0.945,1.0,0.984	-0.032
ENSMUSG00000024160.18	Spsb3	-0.496347618979681	0.0006418760451305	0.0012032256858197	0.914,0.904,0.91	0.946,0.98,0.954	-0.051
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.209,0.698,1.0	0.398,0.57,0.57	0.123
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.041,0.037,0.016	0.168,0.082,0.156	-0.104
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	1.0,0.791,1.0	1.0,1.0,0.791	0.0
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	1.0,1.0,1.0	1.0,NA,1.0	0.0
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.007,0.03,0.028	0.016,0.0,0.016	0.011
